CourseID,TotalEnrollments,TotalRevenue,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherID,TeacherName,Expertise,YearsOfExperience,TeacherRating,PriceBand,DurationBucket,RatingTier,ExperienceBucket,AverageMonthlyEnrollments,AverageMonthlyRevenue
CR00001,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,13.666666666666666,6454.493333333333
CR00002,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,TC00040,Kimberly Miller,Cybersecurity,24,4.58,Free,Long,Average,10+,12.416666666666666,0.0
CR00003,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,TC00042,Yolanda Levine,Machine Learning,21,4.97,Free,Medium,Average,10+,14.416666666666666,0.0
CR00004,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,TC00042,Yolanda Levine,Machine Learning,21,4.97,Free,Long,Average,10+,12.833333333333334,0.0
CR00005,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,TC00040,Kimberly Miller,Cybersecurity,24,4.58,Free,Medium,Average,10+,13.833333333333334,0.0
CR00006,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,TC00042,Yolanda Levine,Machine Learning,21,4.97,Medium,Long,Average,10+,13.0,3592.81
CR00007,178,0.0,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,TC00047,Brad Griffin,Design,4,1.79,Free,Long,Average,3-5 years,14.833333333333334,0.0
CR00008,158,0.0,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,TC00042,Yolanda Levine,Machine Learning,21,4.97,Free,Short,Average,10+,13.166666666666666,0.0
CR00009,155,0.0,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,TC00042,Yolanda Levine,Machine Learning,21,4.97,Free,Long,Excellent,10+,12.916666666666666,0.0
CR00010,180,0.0,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,TC00040,Kimberly Miller,Cybersecurity,24,4.58,Free,Medium,Good,10+,15.0,0.0
