CourseID,Year,Month,MonthlyEnrollments,MonthlyRevenue,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherID,TeacherName,Expertise,YearsOfExperience,TeacherRating,PriceBand,DurationBucket,RatingTier,ExperienceBucket,Quarter,Season,PastEnrollmentCount,AverageRevenue,RevenuePerEnrollment,AverageMonthlyRevenue,AverageMonthlyEnrollment
CR00001,2025,1,18,8501.039999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,1,Winter,0,0.0,0.0,0.0,0.0
CR00001,2025,2,11,5195.08,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00031,Brenda Mercer,Cybersecurity,1,1.86,High,Short,Excellent,0-2 years,1,Winter,18,8501.039999999999,472.28,8501.039999999999,18.0
CR00001,2025,3,8,3778.24,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,High,Short,Excellent,10+,1,Spring,29,6848.06,472.28000000000003,6848.0599999999995,14.5
CR00001,2025,4,14,6611.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,2,Spring,37,5824.786666666667,472.28000000000003,5824.786666666667,12.333333333333334
CR00001,2025,5,17,8028.759999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,High,Short,Excellent,10+,2,Spring,51,6021.57,472.28,5195.08,11.0
CR00001,2025,6,11,5195.08,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,2,Summer,68,6423.007999999999,472.2799999999999,6139.639999999999,13.0
CR00001,2025,7,12,5667.36,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,High,Short,Excellent,10+,3,Summer,79,6218.353333333333,472.2799999999999,6611.919999999999,14.0
CR00001,2025,8,12,5667.36,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,3,Summer,91,6139.639999999999,472.28,6297.066666666666,13.333333333333334
CR00001,2025,9,23,10862.439999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,3,Autumn,103,6080.605,472.28,5509.933333333333,11.666666666666666
CR00001,2025,10,13,6139.639999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,Machine Learning,21,4.97,High,Short,Excellent,10+,4,Autumn,126,6611.92,472.28,7399.053333333332,15.666666666666666
CR00001,2025,11,13,6139.639999999999,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,4,Autumn,139,6564.692,472.28,7556.479999999999,16.0
CR00001,2025,12,12,5667.36,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00040,Kimberly Miller,Cybersecurity,24,4.58,High,Short,Excellent,10+,4,Winter,152,6526.050909090909,472.28,7713.906666666666,16.333333333333332
CR00002,2025,1,11,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,TC00040,Kimberly Miller,Cybersecurity,24,4.58,Free,Long,Average,10+,1,Winter,0,0.0,0.0,6139.639999999999,13.0
CR00002,2025,2,10,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,TC00042,Yolanda Levine,Machine Learning,21,4.97,Free,Long,Average,10+,1,Winter,11,0.0,0.0,3069.8199999999997,12.0
